transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
67,27.34,6,Food,0,0,70,2,35,0
68,291.69,18,Electronics,1,1,68,1,22,0
69,13.95,3,Electronics,0,0,59,1,39,0
70,780.15,15,Electronics,0,0,75,3,27,0
71,266.31,12,Grocery,0,0,82,2,31,0
72,39.88,19,Clothing,0,0,29,1,29,0
73,1.0,18,Travel,0,1,62,2,49,0
74,304.18,4,Grocery,0,0,30,1,56,0
75,220.88,22,Clothing,0,1,75,1,62,0
76,235.02,4,Travel,0,1,38,2,53,0
77,265.54,19,Travel,0,0,72,0,68,0
78,13.85,23,Travel,0,0,36,4,67,0
79,79.9,3,Electronics,0,0,76,4,64,0
80,22.17,1,Electronics,0,0,92,1,32,0
81,357.94,12,Electronics,0,0,83,3,50,0
82,175.73,15,Travel,0,1,42,0,33,0
83,72.33,21,Travel,1,0,77,1,21,0
84,11.82,1,Electronics,0,0,55,1,68,0
85,67.05,18,Travel,0,0,59,3,20,0
86,70.8,16,Electronics,0,0,28,2,43,0
87,235.42,4,Electronics,0,0,33,0,54,0
88,182.68,17,Electronics,1,0,39,0,51,0
89,392.81,22,Clothing,0,0,66,4,59,0
90,115.03,20,Travel,0,0,83,1,26,0
91,22.93,17,Grocery,0,0,97,1,61,0
92,224.84,7,Electronics,0,0,56,0,31,0
93,257.47,14,Grocery,0,0,69,2,64,0
94,148.3,12,Clothing,0,0,29,1,50,0
95,265.3,12,Travel,0,1,55,4,65,0
96,122.55,15,Electronics,0,0,49,1,55,0
97,133.14,21,Electronics,0,0,80,2,22,0
98,100.41,19,Electronics,0,0,25,2,68,0
99,4.63,12,Grocery,0,0,85,0,64,0
100,20.55,19,Clothing,0,0,91,3,45,0
101,5.75,1,Travel,0,0,91,1,50,0
102,182.11,2,Clothing,0,0,66,3,34,0
103,67.93,14,Electronics,0,0,83,3,38,0
104,127.88,22,Clothing,0,0,74,2,24,0
105,428.63,18,Grocery,0,0,58,2,57,0
106,51.61,12,Food,0,0,92,4,52,0
107,95.09,4,Food,0,1,78,6,24,0
108,253.57,21,Travel,0,1,38,2,25,0
109,46.76,5,Travel,0,0,56,3,68,0
110,14.42,13,Clothing,1,0,94,0,61,0
111,61.59,3,Travel,0,0,32,0,59,0
112,31.65,21,Grocery,0,0,59,1,48,0
113,477.89,18,Electronics,0,0,48,3,22,0
114,297.16,22,Electronics,0,0,27,2,22,0
115,180.63,6,Clothing,0,0,60,3,41,0
116,369.27,3,Electronics,1,0,75,1,39,0
117,293.03,1,Clothing,0,0,81,4,61,0
118,37.17,6,Travel,1,0,83,4,30,0
119,401.55,2,Travel,0,0,46,1,39,0
120,139.52,14,Grocery,0,0,61,0,43,0
121,296.52,0,Electronics,0,0,99,3,18,0
122,407.56,1,Grocery,1,0,36,2,34,1
123,68.89,9,Food,0,0,45,0,36,0
124,20.99,15,Grocery,1,1,39,2,19,1
125,46.56,14,Clothing,0,0,36,4,67,0
126,100.27,23,Clothing,0,0,80,5,69,0
127,306.69,14,Grocery,0,0,40,5,28,0
128,354.84,13,Travel,0,0,57,4,47,0
129,1.26,21,Food,0,1,67,2,63,0
130,128.68,13,Grocery,0,1,73,4,40,0
131,97.25,5,Travel,1,0,42,1,32,0
132,45.21,13,Grocery,0,0,40,2,40,0
133,22.98,16,Electronics,1,1,64,3,29,0
134,74.14,17,Clothing,0,0,91,1,44,0
135,515.36,19,Electronics,0,1,86,1,23,0
136,70.27,18,Electronics,0,0,51,2,47,0
137,131.66,16,Food,0,0,38,3,22,0
138,218.54,15,Travel,0,0,90,0,63,0
139,81.36,7,Clothing,1,0,51,4,55,0
140,642.2,6,Electronics,0,0,78,1,52,0
141,590.76,19,Clothing,1,0,84,3,23,0
142,52.21,11,Travel,0,0,64,2,31,0
143,123.78,8,Grocery,0,0,69,1,69,0
144,64.43,13,Electronics,0,0,92,1,67,0
145,60.34,19,Travel,0,0,92,2,34,0
146,6.77,0,Clothing,0,0,87,2,26,0
147,169.29,9,Travel,0,0,64,3,57,0
148,125.73,16,Grocery,0,0,65,1,48,0
149,9.51,16,Travel,0,0,85,5,53,0
150,58.79,16,Clothing,0,0,89,1,27,0
151,429.99,3,Electronics,0,0,25,2,44,0
152,49.29,16,Electronics,0,0,33,7,66,0
153,28.18,17,Food,0,0,99,4,69,0
154,121.01,19,Clothing,1,0,39,3,22,0
155,763.93,22,Food,0,0,83,1,34,0
156,49.89,1,Food,0,0,90,0,48,0
157,200.73,7,Grocery,0,0,34,1,31,0
158,258.1,12,Clothing,0,0,73,2,40,0
159,48.84,22,Electronics,0,0,35,1,61,0
160,234.49,21,Clothing,0,0,54,2,46,0
161,82.53,19,Grocery,1,0,47,3,56,0
162,180.09,21,Clothing,1,0,46,1,32,0
163,180.69,14,Clothing,0,1,75,2,64,0
164,138.13,19,Food,0,0,66,3,29,0
165,17.03,22,Clothing,0,0,53,0,50,0
166,324.66,8,Food,0,0,69,1,57,0
167,69.63,2,Food,0,0,57,0,47,0
168,37.16,2,Travel,0,0,63,6,39,0
169,7.49,1,Grocery,0,0,97,1,47,0
170,160.88,0,Food,0,0,89,2,49,0
171,203.73,13,Clothing,0,0,74,3,37,0
172,3.01,16,Food,0,0,72,0,55,0
173,129.17,12,Food,0,0,61,3,37,0
174,46.23,18,Food,1,1,57,2,19,0
175,186.5,22,Electronics,0,0,30,2,48,0
176,34.49,14,Electronics,0,0,94,2,67,0
177,211.36,13,Electronics,0,0,79,1,45,0
178,88.01,1,Electronics,0,1,68,0,20,0
179,496.86,6,Travel,0,1,74,4,37,0
180,26.63,16,Food,0,0,78,2,52,0
181,75.08,17,Travel,0,0,87,4,36,0
182,21.68,5,Clothing,0,0,40,3,23,0
183,465.51,20,Grocery,0,0,71,5,28,0
184,377.7,7,Travel,1,0,81,2,62,0
185,53.7,1,Electronics,0,0,26,3,23,0
186,194.18,0,Electronics,0,0,61,3,35,0
187,305.91,15,Clothing,0,0,47,4,64,0
188,145.82,6,Food,0,0,37,1,31,0
189,135.77,21,Grocery,1,0,89,4,31,0
190,49.84,23,Travel,0,0,72,2,18,0
191,17.59,10,Food,0,0,31,1,34,0
192,409.52,14,Food,0,0,55,2,31,0
193,415.22,12,Travel,1,0,87,2,48,0
194,180.48,23,Travel,0,0,69,4,62,0
195,74.53,1,Travel,0,0,80,3,27,0
196,77.32,13,Travel,0,0,88,3,55,0
197,233.0,23,Electronics,0,0,46,0,50,0
198,409.34,5,Food,0,0,87,2,22,0
199,392.6,8,Food,0,0,52,1,33,0
200,272.44,6,Electronics,0,0,68,0,37,0
